type,center_x,center_y,radius
Unknown,1690,192,45
Unknown,489,739,46
Unknown,497,918,46
Unknown,527,62,46
Unknown,580,496,46
Unknown,666,586,46
Unknown 1,783,540,46
Unknown,1391,606,46
Unknown,524,541,47
Unknown,488,651,48
Radish,1055,303,48
Nasturtium,1200,284,48
Unknown,1440,310,48
Unknown,1488,871,48
Unknown 1,1516,675,48
Nasturtium,1525,287,48
Unknown,1567,516,48
Unknown,1728,779,48
Unknown,1764,371,48
Unknown,195,863,49
Unknown,281,407,49
Unknown,389,665,49
Unknown,444,639,49
Unknown,690,186,49
Unknown 1,1277,50,49
Unknown,209,514,50
Unknown 1,769,303,50
Unknown,825,789,50
Unknown,1697,91,50
Unknown,253,678,51
Nasturtium,306,851,51
Bok Choy,915,498,51
Unknown,1414,487,51
Bok Choy,101,419,52
Unknown,129,752,52
Bok Choy,214,109,52
Unknown 1,672,399,52
Nasturtium,1504,220,52
Radish,669,794,53
Radish,1367,740,53
Unknown,1512,948,53
Unknown,1837,230,53
Radish,1045,1036,54
Unknown,1661,778,54
Unknown,1707,633,54
Unknown,96,715,55
Unknown,280,261,55
Unknown 1,708,668,55
Unknown,1366,343,55
Radish,1392,66,55
Radish,1439,21,55
Unknown,483,796,56
Unknown 1,1346,1072,56
Unknown 1,165,1028,57
Unknown 1,177,630,57
Nasturtium,258,1035,57
Radish,801,476,57
Radish,1500,490,57
Unknown,1815,158,57
Unknown,483,600,58
Radish,1621,712,58
Radish,1813,1004,58
Unknown,197,219,59
Unknown,1542,622,59
Nasturtium,734,467,60
Nasturtium,407,799,61
Unknown 1,930,840,61
Unknown,1793,325,61
Unknown,1652,418,62
Unknown,1862,702,62
Unknown,1900,100,62
Radish,421,315,63
Unknown 1,797,911,63
Unknown,1479,1034,63
Radish,342,478,64
Unknown 1,363,204,64
Unknown 1,1560,150,66
Unknown,66,933,67
Unknown,549,957,67
Radish,1560,388,67
Radish,1476,549,68
Nasturtium,1846,791,69
Unknown 1,599,1029,70
Nasturtium,834,690,70
Nasturtium,1174,878,71
Unknown 1,1336,242,72
Unknown 1,577,582,73
Unknown,1596,310,74
Radish,1690,864,74
Nasturtium,1816,470,74
Radish,1623,61,75
Radish,1606,871,76
Unknown,1848,336,76
Unknown 1,1266,95,79
Radish,1298,935,79
Radish,1450,219,79
Unknown 1,1298,506,80
Unknown 1,1640,533,82
Radish,1180,395,84
Unknown 1,1313,518,84
Nasturtium,1020,102,88
