(3070.2140456989246, 103.54642977150547)
(2842.320900537634, 71.40765288978514)
(2541.385080645161, 83.09448084677433)
(2275.5097446236555, 170.7456905241936)
(1816.8017473118275, 30.50375504032263)
(1670.7163978494623, 42.19058299731182)
(1442.823252688172, 121.07667170698937)
(1185.7130376344085, 88.93789482526904)
(905.2291666666666, 65.56423891129043)
(636.4321236559139, 156.13715557795717)
(192.33266129032256, 33.4254620295701)
(212.78461021505382, 229.17983030914002)
(195.25436827956992, 454.151268481183)
(320.88776881720435, 535.9590641801078)
(522.4855510752687, 649.9056367607529)
(595.5282258064516, 465.8380964381722)
(671.4926075268817, 351.8915238575271)
(794.2043010752687, 357.7349378360216)
(741.6135752688173, 439.54273353494636)
(916.9159946236558, 676.2009996639788)
(1241.2254704301076, 895.3290238575271)
(1431.1364247311826, 907.0158518145164)
(1466.1969086021504, 667.4358786962368)
(1361.015456989247, 486.29004536290336)
(1533.3961693548385, 459.9946824596775)
(1442.823252688172, 322.674453965054)
(1664.8729838709673, 255.47519321236564)
(1825.5668682795695, 240.8666582661292)
(1781.7412634408602, 436.6210265456991)
(1822.6451612903224, 658.6707577284949)
(1992.1041666666665, 521.3505292338712)
(2155.7197580645156, 459.9946824596775)
(2380.691196236559, 521.3505292338712)
(2348.5524193548385, 661.5924647177421)
(2234.605846774193, 825.2080561155917)
(2085.5987903225805, 758.0087953629036)
(2237.5275537634407, 1047.2577872983875)
(2404.0648521505373, 953.7631636424734)
(2611.5060483870966, 661.5924647177421)
(2745.904569892473, 766.7739163306453)
(2813.103830645161, 953.7631636424734)
(2950.4240591397847, 1167.0477738575273)
(3306.8723118279568, 1137.830703965054)
(3242.5947580645156, 1339.4284862231186)
(2976.7194220430106, 1374.4889700940864)
(2874.4596774193546, 1564.3999243951616)
(3128.6481854838707, 1365.7238491263445)
(2667.0184811827953, 1482.592128696237)
(2547.2284946236555, 1616.9906502016133)
(2307.648521505376, 1476.7487147177424)
(2097.2856182795695, 1497.2006636424735)
(1860.6273521505373, 1546.8696824596777)
(1574.3000672043008, 1304.368002352151)
(1691.1683467741932, 1067.7097362231186)
(1846.0188172043008, 1082.3182711693553)
(1270.4425403225805, 1099.8485131048392)
(1320.1115591397847, 1316.05483030914)
(1220.7735215053763, 1511.8091985887102)
(987.0369623655914, 1377.4106770833337)
(881.855510752688, 1605.3038222446241)
(694.8662634408603, 1459.2184727822585)
(455.2862903225806, 1456.2967657930112)
(431.9126344086021, 1187.4997227822585)
(227.39314516129036, 1275.1509324596777)
(224.471438172043, 1058.9446152553767)
(204.01948924731187, 1535.1828545026885)
(2313.4919354838707, 360.65664482526904)
(2436.2036290322576, 363.5783518145163)
(2690.3921370967737, 334.3612819220432)
(2915.363575268817, 310.9876260080646)
(3096.50940860215, 343.12640288978514)
(3336.0893817204296, 249.63177923387116)
(3017.623319892473, 535.9590641801078)
(3172.47379032258, 495.0551663306453)
(2915.363575268817, 673.2792926747313)
(3105.274529569892, 936.2329217069895)
(3152.021841397849, 711.2614835349466)
(1910.2963709677415, 942.0763356854842)
(1965.8088037634407, 831.0514700940862)
(1659.0295698924729, 831.0514700940862)
(1267.520833333333, 684.9661206317207)
(1057.1579301075267, 322.674453965054)
