(3098.8467741935483, 117.49758064516118)
(3112.870967741935, 131.52177419354848)
(3098.8467741935483, 117.49758064516118)
(3112.870967741935, 124.50967741935483)
(3105.858870967742, 103.47338709677433)
(3112.870967741935, 117.49758064516118)
(3126.8951612903224, 117.49758064516118)
(3063.7862903225805, 75.42500000000018)
(3056.774193548387, 103.47338709677433)
(3112.870967741935, 131.52177419354848)
(3119.883064516129, 117.49758064516118)
(3154.9435483870966, 96.46129032258068)
(3147.931451612903, 103.47338709677433)
(3112.870967741935, 117.49758064516118)
(3126.8951612903224, 124.50967741935483)
(3147.931451612903, 117.49758064516118)
(3133.907258064516, 131.52177419354848)
(3168.9677419354834, 145.54596774193533)
(3175.979838709677, 138.53387096774213)
(3218.0524193548385, 159.57016129032263)
(3197.016129032258, 173.59435483870993)
(3225.064516129032, 159.57016129032263)
(3225.064516129032, 145.54596774193533)
(3253.1129032258063, 145.54596774193533)
(3281.1612903225805, 180.60645161290313)
(3225.064516129032, 257.7395161290324)
(3288.173387096774, 285.78790322580653)
(3281.1612903225805, 306.82419354838703)
(3314.391129032258, 269.933064516129)
(3321.4032258064512, 227.860483870968)
