(457.4775705645161, 828.1407195060485)
(1154.3046875, 495.0661227318549)
(799.3172883064517, 657.2208606350807)
(957.0894657258066, 946.4698525705646)
(2366.082661290323, 644.0731791834678)
(2532.6199596774195, 959.6175340221776)
(1984.7998991935483, 771.1674332157259)
(2699.157258064516, 499.44868321572585)
(433.37348790322585, 1200.658360635081)
(1266.0599798387098, 830.3319997479841)
(2081.2162298387098, 1198.4670803931454)
(2885.416078629032, 854.4360824092744)
(380.78276209677426, 569.5696509576615)
(599.9107862903227, 442.4753969254034)
(1886.1922883064517, 530.1266066028227)
(2197.3540826612902, 484.10972152217755)
(315.04435483870975, 262.79041708669365)
(1106.0965221774195, 243.06889490927438)
(1822.645161290323, 240.87761466733878)
(2664.0967741935483, 258.4078566028227)
(404.8868447580645, 370.1631489415324)
(1487.3792842741937, 1406.6387033770163)
(1936.5917338709678, 346.0590662802422)
(3080.4400201612907, 1391.2997416834678)
(1590.3694556451615, 722.9592678931454)
(1601.325856854839, 999.0605783770163)
(3174.665070564516, 1003.4431388608873)
(3172.473790322581, 712.0028666834678)
(880.3946572580646, 1301.4572517641132)
(1187.1738911290324, 1205.0409211189517)
(2427.438508064516, 1288.3095703125002)
(2797.764868951613, 1205.0409211189517)
(648.1189516129032, 985.9128969254034)
(2228.0320060483873, 992.4867376512099)
(547.320060483871, 254.0252961189517)
(2096.555191532258, 258.4078566028227)
(854.0992943548388, 359.2067477318549)
(1419.4495967741937, 346.0590662802422)
(2407.716985887097, 350.4416267641129)
(3010.319052419355, 359.2067477318549)
